T_amb;alpha;P_h_Sbc;delta_T_sc_DMS;COP_CO2_Sbc;COP_DMS_CO2;COP_star_Sbc
285.65;0.0;5778596.2704594545;-1.1368683772161603e-13;4.134597522162665;7.162268581521563;4.134597522162665
285.65;0.02;5778596.2704594545;0.8881767753118197;4.134597522162665;7.162268581521563;4.169154511685848
285.65;0.04;5778596.2704594545;1.8470226823561688;4.134597522162665;7.162268581521563;4.202931555688421
285.65;0.06;5778596.2704594545;2.871053986376012;4.134597522162665;7.162268581521563;4.235954764380344
285.65;0.08;5778596.2704594545;3.955431951604851;4.134597522162665;7.162268581521563;4.268249095379182
285.65;0.1;5778596.2704594545;5.095775002875143;4.134597522162665;7.162268581521563;4.299838416615021
285.65;0.12;5778596.2704594545;6.288060474099666;4.134597522162665;7.162268581521563;4.330745565160087
285.65;0.14;5778596.2704594545;7.528581822773219;4.134597522162665;6.969790807573452;4.352005537761904
285.65;0.16;5778596.2704594545;8.813933256953135;4.134597522162665;6.602331765493236;4.359339244321726
285.65;0.18;5778596.2704594545;10.141002172385129;4.134597522162665;6.320705553401638;4.364884463045838
285.65;0.2;5778596.2704594545;11.506958502473253;4.134597522162665;5.981406759150927;4.358905600228824
285.65;0.22;5778596.2704594545;12.909237104298313;4.134597522162665;5.647452303876853;4.344464329874264
285.65;0.24;5778596.2704594545;14.345513832226061;4.134597522162665;5.341790987861211;4.323717246709447
285.65;0.26;5778596.2704594545;15.813678098869218;4.134597522162665;5.061386649221924;4.296956059579414
285.65;0.28;5778596.2704594545;17.3118050950481;4.134597522162665;4.8034857786281515;4.264498706503408
285.65;0.3;5778596.2704594545;18.83813017223838;4.134597522162665;4.565598356374788;4.226675812846366
285.65;0.32;5778596.2704594545;20.391026825812503;4.134597522162665;4.345473381837225;4.183817171726875
285.65;0.34;5778596.2704594545;21.96898870026979;4.134597522162665;4.137218110011561;4.135262133077126
285.65;0.36;5778596.2704594545;23.57061530130386;4.134597522162665;3.946994061416892;4.08322378639235
285.65;0.38;5778596.2704594545;25.194600703416654;4.134597522162665;3.768909891888942;4.027005215572682
285.65;0.4;5778596.2704594545;26.839724435156995;4.134597522162665;3.6014167813343403;3.966804527271355
285.65;0.42;5778596.2704594545;28.504843807916757;4.134597522162665;3.443082133932783;3.902758220870783
285.65;0.44;5778596.2704594545;30.188887129530883;4.134597522162665;3.292571780368706;3.834931238023212
285.65;0.46;5778596.2704594545;31.890847437059392;4.134597522162665;3.1486351922963234;3.763307981958986
285.65;0.48;5778596.2704594545;33.60977655335188;4.134597522162665;3.007695660116474;3.686616430584378
285.65;0.5;5778596.2704594545;35.34477940392111;4.134597522162665;2.8735461342580546;3.6069610496366393
285.65;0.52;5778596.2704594545;37.095008623142576;4.134597522162665;2.7691597711818905;3.537811859253142
285.65;0.54;5778596.2704594545;38.859659534534245;4.134597522162665;2.6567713387245053;3.4597743421721647
285.65;0.56;5778596.2704594545;40.637965610678805;4.134597522162665;2.5259258786815457;3.365242781659626
285.65;0.58;5778596.2704594545;42.42919450573521;4.134597522162665;2.3939055826736406;3.2634958108945216
285.65;0.6;5778596.2704594545;44.232644712109675;4.134597522162665;2.262127277925143;3.1552050797207563
285.65;0.62;5778596.2704594545;46.04764283290268;4.134597522162665;2.1300626344564826;3.039783087864247
285.65;0.64;5778596.2704594545;47.87354139934018;4.134597522162665;1.9956424421365773;2.9152433438697103
285.65;0.66;5778596.2704594545;49.70971711478296;4.134597522162665;1.884766012052853;2.803875951555626
285.65;0.68;5778596.2704594545;51.55556938717882;4.134597522162665;1.7643250324993045;2.678238263001952
285.65;0.7000000000000001;5778596.2704594545;53.41051902345362;4.134597522162665;1.6265548868912723;2.528937923465889
285.65;0.72;5778596.2704594545;55.2740069954267;4.134597522162665;1.493769718165665;2.376138544077753
285.65;0.74;5778596.2704594545;57.14549323281804;4.134597522162665;1.4092792601840494;2.2687190477692813
285.65;0.76;5778596.2704594545;59.02445543983828;4.134597522162665;1.305111519322224;2.135437124443247
285.65;0.78;5778596.2704594545;60.910387956882886;4.134597522162665;1.234876369733434;2.037770445619647
285.65;0.8;5778596.2704594545;62.802800696228815;4.134597522162665;1.21569981910103;2.0001806954702555
285.65;0.8200000000000001;5778596.2704594545;64.70121817361652;4.134597522162665;1.261835778955341;2.0410260704058825
285.65;0.84;5778596.2704594545;66.6051786455059;4.134597522162665;1.4148698021302253;2.2021272437097106
285.65;0.86;5778596.2704594545;68.51423334869307;4.134597522162665;1.7091193830079014;2.496494786406875
285.65;0.88;5778596.2704594545;70.42794583244913;4.134597522162665;2.2711107213827355;2.987270186670139
285.65;0.9;5778596.2704594545;72.34589136937166;4.134597522162665;3.1742146535851274;3.6163184341094645
285.65;0.92;5778596.2704594545;74.26765643275303;4.134597522162665;4.295234628636592;4.21004280491022
285.65;0.9400000000000001;;;;;
