Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2024-01-01,63.330,50.090,47.500,43.500,42.500,42.090,42.500,42.590,43.370,42.290,25.000,3.900,3.200,2.060,1.730,5.720,18.490,37.000,47.500,54.970,60.900,60.000,47.500,42.090
2024-01-02,37.800,25.000,3.990,14.000,10.000,14.540,36.290,44.700,53.780,54.230,50.000,52.200,45.000,43.000,43.000,40.990,43.660,52.200,57.770,62.450,58.000,52.830,46.260,40.100
2024-01-03,6.800,3.200,3.200,3.200,3.200,2.210,4.780,45.420,61.920,67.000,63.600,57.100,55.000,55.420,61.000,66.030,67.520,89.570,94.200,104.350,113.260,113.260,94.200,86.580
2024-01-04,90.390,87.000,80.210,70.100,66.860,68.140,86.740,94.510,96.000,98.130,95.000,90.350,89.000,85.960,92.110,98.620,99.500,100.000,102.570,104.000,105.180,102.420,99.410,90.390
2024-01-05,86.080,80.510,77.010,70.670,61.100,68.260,75.000,86.390,90.880,90.000,76.470,57.680,45.870,44.070,40.000,30.550,44.370,67.000,75.470,78.190,79.940,78.260,75.000,68.000
2024-01-06,52.500,45.000,44.200,43.500,23.990,23.990,30.510,44.400,45.800,45.000,25.000,4.000,3.200,3.200,3.200,3.200,25.000,65.000,85.960,92.050,92.140,88.000,86.570,79.870
2024-01-07,84.080,79.820,76.760,73.460,71.860,72.080,74.900,77.690,81.790,84.860,61.000,55.870,50.600,51.770,49.980,45.570,60.000,92.050,104.850,103.550,100.500,95.890,91.170,83.860
2024-01-08,86.970,84.180,81.530,78.790,78.430,82.100,94.300,111.070,120.400,116.980,110.570,103.000,95.460,93.880,100.000,107.980,115.270,125.170,129.990,130.000,133.280,129.470,115.420,107.980
2024-01-09,98.920,100.000,98.430,98.620,97.150,97.530,102.790,108.280,122.550,120.750,110.320,107.670,107.010,106.480,107.070,114.750,124.290,137.350,137.000,138.950,148.010,130.000,111.860,106.110
2024-01-10,92.330,90.120,87.010,85.800,85.000,86.300,95.000,103.940,121.400,121.400,105.380,102.970,99.990,98.500,94.760,94.730,99.370,102.700,111.290,121.400,120.000,107.710,101.320,92.680
2024-01-11,91.750,86.180,82.100,80.000,79.600,81.100,85.910,102.050,113.840,110.000,97.630,86.180,83.890,82.180,83.000,85.000,97.630,118.500,128.930,132.310,117.930,108.330,100.000,93.260
2024-01-12,88.980,86.450,84.990,83.000,83.140,85.000,89.000,102.770,113.280,105.000,100.000,94.580,92.000,91.780,90.100,92.010,100.980,107.100,126.000,119.470,110.000,102.260,98.000,95.490
2024-01-13,90.000,87.480,82.000,78.470,75.000,75.000,78.300,85.590,92.710,94.830,90.930,83.390,73.960,71.450,74.510,80.400,91.230,99.300,107.990,103.140,100.000,97.610,93.120,90.000
2024-01-14,86.100,82.780,78.660,72.530,69.340,69.130,69.710,72.950,77.900,79.450,74.690,69.000,67.800,65.400,63.100,62.300,65.130,72.840,86.180,92.010,86.030,84.490,82.970,72.520
2024-01-15,77.700,67.000,64.990,62.040,62.100,65.100,69.130,86.740,99.520,100.330,94.920,90.300,85.700,82.410,84.990,90.100,95.820,100.000,112.850,113.900,107.580,100.000,97.210,91.000
