Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2024-01-01,0.1015,0.0847,0.0814,0.0763,0.0750,0.0745,0.0750,0.0752,0.0761,0.0748,0.0528,0.0259,0.0251,0.0236,0.0232,0.0283,0.0445,0.0680,0.0814,0.0909,0.0984,0.0973,0.0814,0.0745
2024-01-02,0.0691,0.0528,0.0261,0.0388,0.0337,0.0395,0.0671,0.0778,0.0894,0.0900,0.0846,0.0874,0.0782,0.0757,0.0757,0.0731,0.0765,0.0874,0.0945,0.1004,0.0948,0.0882,0.0798,0.0720
2024-01-03,0.0296,0.0251,0.0251,0.0251,0.0251,0.0238,0.0271,0.0788,0.0997,0.1062,0.1019,0.0936,0.0909,0.0915,0.0986,0.1050,0.1069,0.1349,0.1408,0.1537,0.1650,0.1650,0.1408,0.1311
2024-01-04,0.1359,0.1316,0.1230,0.1101,0.1060,0.1077,0.1313,0.1412,0.1431,0.1458,0.1418,0.1359,0.1342,0.1303,0.1381,0.1464,0.1475,0.1482,0.1514,0.1533,0.1548,0.1513,0.1474,0.1359
2024-01-05,0.1305,0.1234,0.1189,0.1109,0.0987,0.1078,0.1164,0.1309,0.1366,0.1355,0.1182,0.0943,0.0793,0.0770,0.0719,0.0598,0.0774,0.1062,0.1170,0.1204,0.1227,0.1205,0.1164,0.1075
2024-01-06,0.0878,0.0782,0.0772,0.0763,0.0515,0.0515,0.0598,0.0775,0.0792,0.0782,0.0528,0.0261,0.0251,0.0251,0.0251,0.0251,0.0528,0.1037,0.1303,0.1381,0.1382,0.1329,0.1311,0.1226
2024-01-07,0.1279,0.1225,0.1186,0.1144,0.1124,0.1127,0.1162,0.1198,0.1250,0.1289,0.0986,0.0920,0.0853,0.0868,0.0846,0.0789,0.0973,0.1381,0.1543,0.1527,0.1488,0.1429,0.1369,0.1276
2024-01-08,0.1316,0.1281,0.1247,0.1212,0.1207,0.1254,0.1409,0.1623,0.1741,0.1698,0.1616,0.1520,0.1424,0.1404,0.1482,0.1583,0.1676,0.1802,0.1863,0.1863,0.1905,0.1857,0.1678,0.1583
2024-01-09,0.1468,0.1482,0.1462,0.1464,0.1445,0.1450,0.1517,0.1587,0.1769,0.1746,0.1613,0.1579,0.1571,0.1564,0.1572,0.1669,0.1791,0.1957,0.1952,0.1977,0.2092,0.1863,0.1633,0.1559
2024-01-10,0.1384,0.1356,0.1317,0.1301,0.1291,0.1307,0.1418,0.1532,0.1754,0.1754,0.1550,0.1519,0.1482,0.1463,0.1415,0.1415,0.1474,0.1516,0.1625,0.1754,0.1736,0.1580,0.1499,0.1389
2024-01-11,0.1377,0.1306,0.1254,0.1227,0.1222,0.1241,0.1303,0.1508,0.1658,0.1609,0.1452,0.1306,0.1277,0.1255,0.1266,0.1291,0.1452,0.1717,0.1850,0.1893,0.1710,0.1588,0.1482,0.1396
2024-01-12,0.1342,0.1309,0.1291,0.1266,0.1267,0.1291,0.1342,0.1517,0.1651,0.1545,0.1482,0.1413,0.1380,0.1377,0.1356,0.1380,0.1494,0.1572,0.1812,0.1729,0.1609,0.1510,0.1456,0.1424
2024-01-13,0.1355,0.1322,0.1253,0.1208,0.1164,0.1164,0.1206,0.1298,0.1389,0.1416,0.1366,0.1270,0.1151,0.1119,0.1158,0.1232,0.1370,0.1473,0.1583,0.1522,0.1482,0.1451,0.1394,0.1355
2024-01-14,0.1305,0.1263,0.1210,0.1132,0.1092,0.1089,0.1096,0.1138,0.1201,0.1220,0.1160,0.1087,0.1072,0.1042,0.1012,0.1002,0.1038,0.1136,0.1306,0.1380,0.1304,0.1284,0.1265,0.1132
2024-01-15,0.1198,0.1062,0.1036,0.0999,0.1000,0.1038,0.1089,0.1313,0.1476,0.1486,0.1417,0.1358,0.1300,0.1258,0.1291,0.1356,0.1429,0.1482,0.1645,0.1659,0.1578,0.1482,0.1446,0.1367
2024-01-16,0.1311,0.1270,0.1239,0.1210,0.1206,0.1232,0.1342,0.1494,0.1826,0.1738,0.1473,0.1376,0.1393,0.1347,0.1355,0.1329,0.1289,0.1329,0.1342,0.1475,0.1479,0.1339,0.1176,0.0973
2024-01-17,0.0453,0.0412,0.0286,0.0272,0.0272,0.0273,0.0422,0.0772,0.0789,0.0789,0.0780,0.0649,0.0430,0.0375,0.0275,0.0273,0.0444,0.0763,0.0787,0.0834,0.0908,0.0805,0.0761,0.0439
