hour,Low,Medium,High,Worst_day
0,40.300663,56.159703,74.713239,83.468682
1,44.311918,61.186002,80.277706,87.995960
2,45.254062,62.245567,81.372011,90.254050
3,40.561658,55.577780,72.402582,80.710599
4,38.175854,52.007164,67.574619,75.653337
5,40.183162,54.682022,70.597668,79.614967
6,45.513100,62.528352,81.342267,92.051610
7,54.287080,77.286852,101.735486,114.507489
8,62.155949,91.472633,119.510490,134.382660
9,66.188194,96.628395,125.398811,140.519559
10,66.991789,95.834701,124.046255,139.164885
11,64.946043,91.231715,117.913147,132.904742
12,64.426769,89.439640,115.287942,130.517977
13,71.287546,97.341242,125.953614,143.107456
14,74.279953,101.220941,130.692181,148.175420
15,66.218356,90.385187,116.981450,132.252255
16,61.753677,85.125194,110.582724,123.759045
17,63.599632,89.734718,117.765205,132.119730
18,62.171105,88.669757,118.160385,133.412173
19,59.109250,84.179882,113.349564,129.809687
20,60.687423,86.305787,115.635333,132.243184
21,62.053584,87.871592,118.068828,135.931907
22,55.954668,78.966205,105.985610,120.859794
23,45.156712,63.235407,84.786579,99.324836
