hour,Low,Medium,High,Worst_day
0,6.519426751592357,14.723622047244094,24.320987654320987,28.85
1,6.430573248407643,14.339370078740156,23.28395061728395,26.9
2,6.005095541401274,13.657874015748035,22.25679012345679,26.25
3,5.639808917197453,13.063779527559058,21.355555555555554,25.45
4,5.358598726114649,12.536220472440949,20.57716049382716,24.75
5,5.07484076433121,12.13464566929134,19.83641975308642,24.2
6,4.8929936305732475,12.149212598425196,20.115432098765435,24.65
7,4.91687898089172,13.161811023622045,21.857407407407408,26.4
8,5.5592356687898095,15.029133858267716,24.027160493827157,28.8
9,7.137261146496816,17.014173228346458,26.345679012345684,31.25
10,8.840764331210192,18.815354330708658,28.5716049382716,33.8
11,10.364012738853503,20.357086614173227,30.500617283950618,36.2
12,11.577070063694268,21.633858267716537,32.02654320987654,38.15
13,12.511464968152866,22.320078740157477,33.09197530864197,39.55
14,13.03248407643312,22.95551181102362,33.81049382716049,40.25
15,13.07484076433121,23.075196850393706,34.08086419753086,40.4
16,12.65668789808917,22.868897637795275,33.9925925925926,39.75
17,11.464012738853503,22.062204724409458,33.42901234567901,39.25
18,10.337579617834395,20.849999999999998,32.54938271604938,38.6
19,9.34108280254777,19.37952755905512,31.05925925925926,37.65
20,8.51624203821656,18.159055118110242,29.198765432098764,35.45
21,7.871656050955414,17.107480314960625,27.90987654320988,34.3
22,7.329617834394904,16.23582677165354,26.693209876543204,32.45
23,6.894267515923566,15.390157480314958,25.517901234567905,32.35
